PUBUKPRN,UKPRN,ASSURL,CRSECSTURL,CRSEURL,EMPLOYURL,FOUNDATION,HONOURS,KISCOURSEID,KISMODE,NUMSTAGE,SANDWICH,SUPPORTURL,TITLE,UCASPROGID,UKPRNAPPLY,YEARABROAD,KISAIMCODE,KISLEVEL
10000055,10004930,https://www.brookes.ac.uk/courses/undergraduate/business-and-management-practice-fda#detail,https://www.brookes.ac.uk/courses/undergraduate/business-and-management-practice-fda#tuition,https://www.brookes.ac.uk/courses/undergraduate/business-and-management-practice-fda,https://www.brookes.ac.uk/courses/undergraduate/business-and-management-practice-fda#careers,0,0,FDA-BMP,01,2,0,https://www.brookes.ac.uk/studying-at-brookes/finance/,Business and Management Practice,A47-H57,,0,130,04
10000055,10004930,https://www.brookes.ac.uk/courses/undergraduate/business-and-management-practice-fda#detail,https://www.brookes.ac.uk/courses/undergraduate/business-and-management-practice-fda#tuition,https://www.brookes.ac.uk/courses/undergraduate/business-and-management-practice-fda,https://www.brookes.ac.uk/courses/undergraduate/business-and-management-practice-fda#careers,0,0,FDA-BMP,02,,0,https://www.brookes.ac.uk/studying-at-brookes/finance/,Business and Management Practice,A47-H57,,0,130,04
10000055,10004930,https://www.brookes.ac.uk/courses/undergraduate/early-years-foundation-degree#detail,https://www.brookes.ac.uk/courses/undergraduate/early-years-foundation-degree#tuition,https://www.brookes.ac.uk/courses/undergraduate/early-years-foundation-degree,https://www.brookes.ac.uk/courses/undergraduate/early-years-foundation-degree#careers,0,0,FDA-EYA-AW,01,2,0,https://www.brookes.ac.uk/studying-at-brookes/finance/,Early Years,A06-C42,,0,130,04
10000080,10004797,https://www.ntu.ac.uk/course/access-creatives/music-performance,https://www.ntu.ac.uk/study-and-courses/undergraduate/fees-and-funding/tuition-fees-and-living-costs,https://www.ntu.ac.uk/course/access-creatives/music-performance,https://www.ntu.ac.uk/course/access-creatives/music-performance,0,0,NTAD162_1,01,2,0,https://www.ntu.ac.uk/study-and-courses/undergraduate/fees-and-funding,Music Performance,A46-I81,,0,130,04
10000163,10000163,https://www.hsu.ac.uk/course/bsc-hons-radiography-diagnostic-imaging/#details,https://www.hsu.ac.uk/course/bsc-hons-radiography-diagnostic-imaging/#fees,https://www.hsu.ac.uk/course/bsc-hons-radiography-diagnostic-imaging/#overview,https://www.hsu.ac.uk/course/bsc-hons-radiography-diagnostic-imaging/#details,0,1,BSRDIF-B821,01,3,0,https://www.hsu.ac.uk/student-life/student-finances/,Radiography (Diagnostic Imaging),A55-G86,,0,021,03
10000163,10000163,https://www.hsu.ac.uk/course/bsc-hons-radiography-radiotherapy-and-oncology/#details,https://www.hsu.ac.uk/course/bsc-hons-radiography-radiotherapy-and-oncology/#fees,https://www.hsu.ac.uk/course/bsc-hons-radiography-radiotherapy-and-oncology/#details,https://www.hsu.ac.uk/course/bsc-hons-radiography-radiotherapy-and-oncology/#details,0,1,BSRROF-B822,01,3,0,https://www.hsu.ac.uk/student-life/student-finances/,Radiography (Radiotherapy and Oncology),A55-G87,,0,021,03
10000163,10000163,https://www.hsu.ac.uk/course/sport-and-exercise-science/#details,https://www.hsu.ac.uk/course/sport-and-exercise-science/#fees,https://www.hsu.ac.uk/course/sport-and-exercise-science/#overview,https://www.hsu.ac.uk/course/sport-and-exercise-science/#details,0,1,BSSEHF-C607,01,3,0,https://www.hsu.ac.uk/student-life/student-finances/,"Sport, Exercise and Health Science",A47-D35,,0,021,03
10000163,10000163,https://www.hsu.ac.uk/course/bsc-hons-sport-and-exercise-psychology/#details,https://www.hsu.ac.uk/course/bsc-hons-sport-and-exercise-psychology/#fees,https://www.hsu.ac.uk/course/bsc-hons-sport-and-exercise-psychology/#overview,https://www.hsu.ac.uk/course/bsc-hons-sport-and-exercise-psychology/#details,0,1,BSSEPF-C813,01,3,0,https://www.hsu.ac.uk/student-life/student-finances/,Sport and Exercise Psychology,A47-D39,,0,021,03
10000163,10000163,https://www.hsu.ac.uk/course/bsc-hons-sport-rehabilitation/#details,https://www.hsu.ac.uk/course/bsc-hons-sport-rehabilitation/#fees,https://www.hsu.ac.uk/course/bsc-hons-sport-rehabilitation/#overview,https://www.hsu.ac.uk/course/bsc-hons-sport-rehabilitation/#details,0,1,BSSRF-C630,01,3,0,https://www.hsu.ac.uk/student-life/student-finances/,Sport Rehabilitation,A67-H00,,0,021,03
10000163,10000163,https://www.hsu.ac.uk/course/master-of-chiropractic/#details,https://www.hsu.ac.uk/course/master-of-chiropractic/#fees,https://www.hsu.ac.uk/course/master-of-chiropractic/#overview,https://www.hsu.ac.uk/course/master-of-chiropractic/#details,1,1,MCCF-B320,01,4,0,https://www.hsu.ac.uk/student-life/student-finances/,Chiropractic,A36-B40,,0,050,03
